"_id","name","location","review","rating","usersRating","description","amenities","images","thumbnail","owner","propertyType","rooms","__v","createdAt","updatedAt","pricePerNight","maxGuests","available","reservations"
"684c124db1e0125c6d6dae58","Golden Falcon","{""city"":""Banha"",""zone"":""Midtown"",""street"":""W Front Street""}","[]",4.3,0,"Explicabo crinis vulgus odio laborum amiculum triduana vester alveus. Arguo vir attero. Adversus defluo aperio decimus derelinquo comprehendo aduro sollicito.","[""Gym"",""Kitchen""]","[""/images/hotels/10.jpg"",""/images/hotels/6.jpg"",""/images/hotels/18.jpg""]","/images/hotels/15.jpg","684c124cb1e0125c6d6dac61","Hotel","[{""type"":""Single"",""pricePerNight"":4980.96,""maxGuests"":3,""amenities"":[""Air Conditioning"",""Heating"",""Pool"",""WiFi"",""TV""],""available"":true,""reservations"":[],""_id"":""684c124db1e0125c6d6dae59""},{""type"":""Double"",""pricePerNight"":6468.94,""maxGuests"":2,""amenities"":[""Heating"",""Air Conditioning"",""Gym"",""Kitchen"",""WiFi"",""Pool""],""available"":true,""reservations"":[""684c127c02ec8bd9263a7d77""],""_id"":""684c124db1e0125c6d6dae5a""},{""type"":""Suite"",""pricePerNight"":7820.62,""maxGuests"":6,""amenities"":[""Air Conditioning"",""Heating"",""Pool"",""Gym"",""WiFi"",""Kitchen""],""available"":true,""reservations"":[],""_id"":""684c124db1e0125c6d6dae5b""}]",1,"2025-06-13T11:58:06.522Z","2025-06-13T11:58:53.078Z",,,,
"684c124db1e0125c6d6dae5c","malak.sayed","{""houseNumber"":""77507"",""city"":""north sinai"",""zone"":""Midtown"",""street"":""Rath Courts""}","[]",5,0,"Concedo id confero summisse tener. Ventosus nobis vapulus caelestis acer. Arca tergo bis tibi voluptatibus clamo aiunt.","[""Pool"",""Kitchen"",""TV"",""WiFi"",""Gym"",""Parking"",""Air Conditioning""]","[""/images/houses/4.jpg"",""/images/houses/3.jpg"",""/images/houses/9.jpg""]","/images/houses/11.jpg","684c124cb1e0125c6d6dac62","House",,1,"2025-06-13T11:58:06.524Z","2025-06-13T11:58:53.263Z",7467.28,1,true,"[""684c127d02ec8bd9263a7d7b""]"
"684c124db1e0125c6d6dae5d","malak.sayed","{""houseNumber"":""647"",""city"":""red sea"",""zone"":""Beachfront"",""street"":""Gerhold Cove""}","[]",3.7,0,"Astrum adulescens arcus pectus vulnero tamdiu aliquid. Curo defluo fugit. Coma victoria sonitus adicio canis tepesco cavus.","[""Air Conditioning"",""WiFi"",""Parking"",""Pool"",""Heating""]","[""/images/houses/3.jpg"",""/images/houses/7.jpg"",""/images/houses/18.jpg""]","/images/houses/11.jpg","684c124cb1e0125c6d6dac62","House",,1,"2025-06-13T11:58:06.524Z","2025-06-13T11:58:53.424Z",3095.57,7,true,"[""684c127d02ec8bd9263a7d7f""]"
"684c124db1e0125c6d6dae5e","malak.sayed","{""houseNumber"":""199"",""city"":""Sohag"",""zone"":""Suburbs"",""street"":""Dale Street""}","[]",3.7,0,"Viriliter capillus toties cum audax creo confido advoco. Denego ratione valetudo artificiose vicissitudo sono thymum praesentium aggredior. Qui bis facilis advoco ait canto.","[""Kitchen"",""Air Conditioning"",""Heating"",""WiFi"",""Gym""]","[""/images/houses/1.jpg"",""/images/houses/4.jpg"",""/images/houses/18.jpg""]","/images/houses/12.jpg","684c124cb1e0125c6d6dac62","House",,1,"2025-06-13T11:58:06.525Z","2025-06-13T11:58:53.585Z",2732.4,1,true,"[""684c127d02ec8bd9263a7d83""]"
"684c124db1e0125c6d6dae5f","Aswan Haven","{""city"":""Sohag"",""zone"":""Beachfront"",""street"":""Judge Place""}","[]",3.5,0,"Tergiversatio aiunt audacia magnam vulgus sodalitas. Adulatio demitto bardus eveniet sub sequi umquam. Bos carus maxime aestivus apostolus valetudo ademptio argentum.","[""Kitchen"",""Parking"",""Air Conditioning"",""Heating""]","[""/images/hotels/7.jpg"",""/images/hotels/1.jpg"",""/images/hotels/20.jpg""]","/images/hotels/7.jpg","684c124cb1e0125c6d6dac63","Hotel","[{""type"":""Single"",""pricePerNight"":2495.05,""maxGuests"":1,""amenities"":[""Pool"",""TV"",""Air Conditioning"",""Kitchen""],""available"":true,""reservations"":[],""_id"":""684c124db1e0125c6d6dae60""},{""type"":""Double"",""pricePerNight"":3195.78,""maxGuests"":3,""amenities"":[""Parking"",""Pool"",""Air Conditioning"",""Gym""],""available"":true,""reservations"":[],""_id"":""684c124db1e0125c6d6dae61""},{""type"":""Suite"",""pricePerNight"":3896.57,""maxGuests"":3,""amenities"":[""Heating"",""WiFi"",""Pool"",""Air Conditioning"",""Parking""],""available"":true,""reservations"":[""684c127d02ec8bd9263a7d87""],""_id"":""684c124db1e0125c6d6dae62""}]",1,"2025-06-13T11:58:06.525Z","2025-06-13T11:58:53.747Z",,,,
"684c124db1e0125c6d6dae63","Blue Sphinx","{""city"":""north sinai"",""zone"":""Downtown"",""street"":""Ayana Extensions""}","[]",5,0,"Assumenda vallum avaritia labore tamisium trepide attollo voluptatibus ascit. Aequus desolo cursim. Cervus utpote tunc angelus consequatur.","[""Kitchen"",""Gym"",""Parking""]","[""/images/hotels/20.jpg"",""/images/hotels/6.jpg"",""/images/hotels/2.jpg""]","/images/hotels/4.jpg","684c124cb1e0125c6d6dac63","Hotel","[{""type"":""Single"",""pricePerNight"":8845.02,""maxGuests"":1,""amenities"":[""Gym"",""Heating"",""Air Conditioning"",""Pool"",""Kitchen"",""TV"",""WiFi""],""available"":true,""reservations"":[],""_id"":""684c124db1e0125c6d6dae64""},{""type"":""Double"",""pricePerNight"":10785.54,""maxGuests"":4,""amenities"":[""Parking"",""TV"",""Pool"",""Kitchen"",""Gym"",""WiFi"",""Air Conditioning"",""Heating""],""available"":true,""reservations"":[],""_id"":""684c124db1e0125c6d6dae65""},{""type"":""Suite"",""pricePerNight"":13667.67,""maxGuests"":3,""amenities"":[""TV"",""WiFi"",""Pool"",""Kitchen"",""Air Conditioning"",""Gym"",""Parking"",""Heating""],""available"":true,""reservations"":[""684c127d02ec8bd9263a7d8b""],""_id"":""684c124db1e0125c6d6dae66""}]",1,"2025-06-13T11:58:06.525Z","2025-06-13T11:58:53.901Z",,,,
"684c124db1e0125c6d6dae67","dina.shaker","{""houseNumber"":""23198"",""city"":""Ismailia"",""zone"":""Midtown"",""street"":""Madison Avenue""}","[]",3.5,0,"Consuasor umquam socius totidem ab animi paens absque. Vacuus villa ratione. Textus consuasor volutabrum tersus varius cui spero.","[""Pool"",""Air Conditioning"",""Kitchen"",""TV""]","[""/images/houses/4.jpg"",""/images/houses/13.jpg"",""/images/houses/1.jpg""]","/images/houses/12.jpg","684c124cb1e0125c6d6dac64","House",,1,"2025-06-13T11:58:06.525Z","2025-06-13T11:58:54.054Z",1796.86,4,true,"[""684c127e02ec8bd9263a7d8f""]"
"684c124db1e0125c6d6dae68","Delta Retreat","{""city"":""new valley"",""zone"":""Midtown"",""street"":""Clara Field""}","[]",5,0,"Consuasor spargo aqua corpus. Textus blandior demo vulgus tripudio video amoveo voluptatem condico labore. Tripudio cognomen comparo agnitio adaugeo aufero conitor aiunt dens subito.","[""Pool"",""Heating"",""WiFi"",""Air Conditioning""]","[""/images/hotels/17.jpg"",""/images/hotels/19.jpg"",""/images/hotels/7.jpg""]","/images/hotels/5.jpg","684c124cb1e0125c6d6dac64","Hotel","[{""type"":""Single"",""pricePerNight"":8703.8,""maxGuests"":4,""amenities"":[""Kitchen"",""Parking"",""Air Conditioning"",""TV"",""Heating"",""Gym"",""Pool""],""available"":true,""reservations"":[""684c127e02ec8bd9263a7d93""],""_id"":""684c124db1e0125c6d6dae69""},{""type"":""Double"",""pricePerNight"":10976.16,""maxGuests"":3,""amenities"":[""Heating"",""TV"",""Kitchen"",""WiFi"",""Gym"",""Air Conditioning"",""Parking"",""Pool""],""available"":true,""reservations"":[],""_id"":""684c124db1e0125c6d6dae6a""},{""type"":""Suite"",""pricePerNight"":14200.15,""maxGuests"":7,""amenities"":[""TV"",""Gym"",""Heating"",""Parking"",""Air Conditioning"",""Kitchen"",""Pool"",""WiFi""],""available"":true,""reservations"":[],""_id"":""684c124db1e0125c6d6dae6b""}]",1,"2025-06-13T11:58:06.526Z","2025-06-13T11:58:54.211Z",,,,
"684c124db1e0125c6d6dae6c","dina.shaker","{""houseNumber"":""43530"",""city"":""Kafr El Sheikh"",""zone"":""Beachfront"",""street"":""Thompson Neck""}","[]",4.3,0,"Arca tribuo adimpleo tero. Saepe dedecor turbo vomer ara trado teneo. Attero aestivus volup.","[""Parking"",""Pool"",""WiFi"",""Gym"",""Kitchen"",""Air Conditioning""]","[""/images/houses/15.jpg"",""/images/houses/2.jpg"",""/images/houses/13.jpg""]","/images/houses/5.jpg","684c124cb1e0125c6d6dac64","House",,1,"2025-06-13T11:58:06.526Z","2025-06-13T11:58:54.370Z",5159.3,1,true,"[""684c127e02ec8bd9263a7d97""]"
"684c124db1e0125c6d6dae6d","mahmoud.haggag","{""houseNumber"":""703"",""city"":""Kafr El Sheikh"",""zone"":""Midtown"",""street"":""The Woodlands""}","[]",3.4,0,"Confido demum ea ea voluptate dens defendo stips repellat. Debeo degusto pauci subiungo excepturi sono audentia cenaculum ascit sponte. Dolorem desino verecundia laudantium balbus corrumpo.","[""WiFi"",""TV"",""Kitchen"",""Parking""]","[""/images/houses/14.jpg"",""/images/houses/5.jpg"",""/images/houses/2.jpg""]","/images/houses/17.jpg","684c124cb1e0125c6d6dac65","House",,1,"2025-06-13T11:58:06.526Z","2025-06-13T11:58:54.531Z",1969.88,3,true,"[""684c127e02ec8bd9263a7d9b""]"
